Όνομα Προμηθευτή,Μέσο Ποσοστό Περικοπής,Αθροιστικό Βάρος (αρχικό),Αθροιστική Αξία (αρχική),Αξιολόγηση Προμηθευτή,Κατηγορία Προμηθευτή
773,0.0,40.0,0.04,7.0,average
881,0.0,812.0,8.12,7.0,average
685,0.0,1376.0,13.76,7.0,average
28,2.50691,22785.0,22461.6,6.594,bad
167,3.92357,6965.0,8890.0,6.356,bad
133,1.7134,555190.0,150042.0,6.7335,bad
349,0.0,310.0,3.1,7.0,average
361,0.0,1023.0,122.76,7.0,average
727,0.0,13905.0,2363.85,7.0,average
2,0.0,315.0,3.15,7.0,average
650,0.0,1260.0,126.0,7.0,average
881,0.0,986.0,157.76,7.0,average
699,0.0,1195.0,119.5,7.0,average
527,4.36785,10375.0,8419.0,6.286,bad
8,0.0,3770.0,377.0,7.0,average
363,0.0,930.0,120.9,7.0,average
859,1.97901,16675.0,16675.0,6.678,bad
164,0.0,1177.0,11.77,7.0,average
199,0.0,589.0,5.89,7.0,average
274,0.0,1437.0,86.22,7.0,average
106,0.0599805,167695.0,161198.0,7.0035,good
57,0.0,160176.0,140314.0,7.009,good
666,0.0,1502.0,150.2,7.0,average
922,0.791038,107239.0,113793.0,6.88,bad
455,0.0,870.0,156.6,7.0,average
957,0.0,960.0,105.6,7.0,average
973,0.0,400.0,64.0,7.0,average
778,0.0,1069.0,128.28,7.0,average
698,0.0,1045.0,125.4,7.0,average
269,0.0,145.0,12701.0,7.0,average
604,0.0,1301.0,78.06,7.0,average
449,0.0,1164.0,104.76,7.0,average
51,0.0,15470.0,17056.3,7.0,average
502,0.99306,105270.0,97884.6,6.845,bad
683,0.181789,1800860.0,1388920.0,7.0755,good
22,0.61252,1863140.0,259630.0,6.9335,average
503,2.69444,142655.0,26749.9,6.5605,bad
419,1.01468,34500.0,32893.1,6.8405,bad
153,0.0,190.0,0.0095,7.0,average
388,0.0,288.0,2.88,7.0,average
722,0.0,788.0,7.88,7.0,average
84,9.0986,6705.0,6488.3,5.509,bad
240,0.0,875.0,105.0,7.0,average
40,0.0,480.0,562.45,7.0,average
943,0.181818,5500.0,5582.5,6.972,average
394,6.59386,4575.0,48.7239,5.922,bad
790,0.0,1385.0,0.04425,7.0,average
85,0.370859,69490.0,140560.0,6.953,average
818,0.978655,311690.0,50041.8,6.8505,bad
486,1.75725,5045.0,5759.8,6.713,bad
179,1.71051,18490.0,2122.68,6.72,bad
442,11.6868,265537.0,36846.9,5.085,bad
777,0.146307,2427630.0,444925.0,7.027,good
673,0.323256,327965.0,386916.0,6.9765,average
396,0.0,1250.0,12.5,7.0,average
104,0.0,1268.0,12.68,7.0,average
601,0.282885,3535.0,3206.25,6.958,average
483,0.152207,2495.0,1661.5,6.979,average
697,0.0,524.0,5.24,7.0,average
