Date,E Shredder(kWh), E ECurrent(kWh),SHREDDED(kg),ZORBA(kg),INOX(kg),CUFe(kg),FLUFF(kg),TIME AVAIL(min),FUCHS BREAKDOWN,BIG PIECES,BLOCKING,2nd PROCESSING OF RUBBISH FROM MOTORS,NO SCRAP IN FEEDING AREA into machine(break change of material etc.),NO ELECTRICAL POWER,NO SCRAP IN THE PLANT OR PROPER MIX,SCALE,START-FINISH TIME,MECHANICAL,ELECTRICAL,ELECTRONIC,FIRE - EXPLOSION,BELTS PROBLEMS,HAMMERS AND FACING PROBLEMS,HYDRAULICS,OTHER,40000,40001,40002,40003,40004,40005,40006,40008,40009,40011,40012,40016,40017,40018,40020,40021,40240,40242,40296,40297,70001
3132,  110,86115,995,75,225,25225,480,0,0,8,0,30,0,0,0,6,110,0,0,0,0,0,0,0,53505,45935,13195,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1983,  113,51460,900,100,60,17380,480,0,0,0,0,30,0,0,0,56,12,78,0,0,30,0,0,0,18410,8400,39880,0,3210,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2602,  133,57545,815,80,160,17415,480,0,0,0,0,50,0,0,0,55,0,0,90,0,0,0,0,0,22800,8700,34060,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,10455,
903,   60,52380,13400,170,305,5510,480,0,0,0,0,42,0,0,0,247,0,0,0,0,41,0,0,0,0,5640,0,0,0,0,0,0,      0,19640,43385,0,3845,2955,0,0,0,0,0,0,0,
2778,  129,96030,1855,160,155,23195,480,0,0,0,0,50,0,0,0,57,0,3,0,0,30,0,0,0,57267,36845,18900,0,3950,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,4433,
2781,  125,79110,855,55,255,17715,480,0,0,5,0,30,0,0,0,59,28,0,0,0,0,0,0,0,5075,13305,79610,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2938,  132,110765,1030,155,120,40460,480,0,0,0,0,70,0,0,0,54,0,0,0,0,0,0,0,0,93180,33355,21815,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,4180,
2039,  111,58855,475,70,135,23630,480,0,0,16,0,30,0,0,0,20,0,121,0,0,0,0,0,0,2630,11510,67290,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,1735,
2913,  138,97495,410,165,110,12900,480,0,0,9,0,60,0,0,0,69,0,33,0,0,0,0,0,0,43550,30460,32410,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,4660,
2461,   98,87090,525,150,140,14960,480,0,0,2,0,30,0,0,0,66,0,44,0,0,0,0,0,0,27040,31290,42210,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,2325,
1195,   62,49780,15520,200,680,8290,480,62,0,0,0,30,0,0,0,219,0,20,0,0,0,0,0,0,0,12755,0,0,0,0,0,0,      0,32935,24700,0,7080,0,0,0,0,0,0,0,0,
